title,price,location,address,distancia_m,details,link,descripcion
"Apartamento en arriendo en Colina Campestre, Bogotá",$ 2.500.000,"Suba, Bogotá","Cra. 72 bis #147-60, Bogotá, Colombia",538,1 Habs. 1 Baño47.57 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/10833499,"Apartamento para arriendo en Colina campestre, con espectacular terraza, apto con excelente iluminación natural, cuenta sala comedor independiente, cocina integral a gas, una habitación con closet, pisos laminados en habitaciones y zona social, excelente ubicación, cerca a centro comercial Colina Campestre, estrato 5, cuenta con Parqueaderos cubiertos. Ubicado en un conjunto con excelentes zonas comunes.

Excelentes diseños interiores y exteriores para quienes disfrutan de cada detalle.
Gimnasio y piscina cubierta climatizada para ejercitarte y relajarte cada día.
Salón lúdico y zona de juegos infantiles para los más pequeños."
"Apartamento en Arriendo en Suba Salitre, Bogotá",$ 1.350.000,"Suba, Bogotá",Calle 158,2130,2 Habs. 1 Baño36 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-salitre-bogota/192408258,"[ARR] ID HOUM: 103882

Entérate de todos los beneficios al arrendar con nosotros:
• Asistencia e intermediación con el propietario
• Firma tu contrato online
• Arrienda sin burocracia, sin papeleos ni notarías

Departamento en arriendo, ubicado en el barrio El Salitre, con una superficie construida de 45.00 m² y superficie total de 36.00  m².

Sus principales características son:

• No amoblado
• 2 dormitorios
• 1 baño
• No Admite mascotas
• Piso 11
• Año de construcción: 2021

Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso.


Requisitos para arrendar con nosotros:

• Arrienda sin codeudor*, fácil, rápido y seguro
• Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble)
• Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos
• No debes tener reportes negativos en centrales de crédito


IMPORTANTE:

• Te invitamos a agendar una visita a esta propiedad
• Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros

Más que una inmobiliaria, somos Houm.
*Aplican T&C"
"Apartamento en  Arriendo en Centro Comercial Niza, Bogotá",$ 1.250.000,"Suba, Bogotá",CARRERA 91 137- 59,1954,2 Habs. 1 Baño40 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-centro-comercial-niza-bogota/191857426,"Espectacular apartamento en arriendo, ubicado en un primer piso en el exclusivo barrio Suba Centro, a tan solo una cuadra de la Av. Suba, cerca del centro comercial Centro Suba y la estación de Transmilenio Transversal 91. Además, cuenta con fácil acceso a zonas comerciales y transporte público. Al ingresar, encontrará una amplia sala comedor con cocina abierta tipo americano, completamente nueva y equipada, con modernos muebles en madera y pisos en porcelanato. La propiedad incluye instalación para lavadora, dos habitaciones con closet y un baño completo. Además, dispone de una práctica zona de lavandería. Para mayor información, no dude en contactarnos al correo electrónico angie.ramirezinmobiliariabogota.com o al teléfono 3174908323. En Inmobiliaria Bogotá nos comprometemos a ofrecer una experiencia única y de calidad a nuestros clientes, brindándoles el mejor servicio desde el momento en que se unen a nuestra comunidad. 1132-2021213331"
Apartamento en Arriendo en Bogotá,$ 2.650.000,"Suba, Bogotá",Carrera 57 A #145 -61,1483,3 Habs. 2 Baños92 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-bogota/192545137,"SE ARRIENDA APARTAMENTO 2 PISO  EN ALAMEDA DE SANTA CLARA II. ESTRATO 5, CONSTA DE 3 HABITACIONES CADA UNA CLOSET, LA PRINCIPAL CON BAÑO, SALA COMEDOR, COCINA INTEGRAL A  GAS, ZONA DE LAVANDERIA CON CALENTADOR A GAS, HABITACION  DE SERVICIO, 1 GARAJE PARA UN SOLO VEHICULO ZONAS VERDES. BUENAS VIAS DE ACCESO Y CENTROS COMERCIALES, COLEGIOS Y UNIVERSIDADES."
"Apartamento en Arriendo en Cantalejo, Bogotá",$ 1.850.000,"Suba, Bogotá","Calle 163 #59A-10, Bogotá, Colombia",918,2 Habs. 1 Baño35 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cantalejo-bogota/192520401,"SE ARRIENDA APARTAMENTO EN EXCELENTE UBICACIÓN - LA COLINA, BOGOTÁ DE 35 m² A pocos pasos del Centro Comercial Parque La Colina, Comando de Policía, Éxito de La Colina, Smart Fit Colina y fácil acceso a transporte público. 2 alcobas con clóset empotrado, 1 baño completo con acabados modernos, Sala comedor con ventanal de pared a pared que brinda excelente iluminación natural, Cocina, gabinetes superiores e inferiores, Zona de ropas independiente con ventilación natural, Calentador a gas, Pisos en cerámica, Ascensor, Placa deportiva para fútbol, baloncesto o actividades recreativas, Gimnasio dotado, Parqueadero para visitantes, Portería y seguridad 24/7, Zonas verdes, Zona segura y residencial, Cercanía a supermercados, bancos, colegios y zonas comerciales, Ambiente familiar y tranquilo"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 3.600.000,"Suba, Bogotá","Colina campestre, Bogota, Colombia",1192,3 Habs. 3 Baños100 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192583148,"EXCELENTE UBICACION APARTAMENTO PARA ESTRENAR , CONSTA DE 3 HABITACIONES , 3 BAÑOS CADA HABITACION CUENTA CON SU BAÑO LA PRINCIPAL TIENE SU CLOSET Y BAÑO MUY ESPACIOSA, VISTA MUY LINDA , SALA Y COMEDOR GRANDE , PARQUEADERO  (1), INCLUYE ADMON, COCINA MUY MODERNA , ZONA DE ROPAS APARTE, CONJUTNO MUY COMODO MUY LINDO SE ARRIENDA CON CORTINAS INCLUIDA , SI DESEA 2 HABITACIONES YSALA DE ESTAR TAMBIEN ES POSIBLE"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.300.000,"Suba, Bogotá",CARRERA 74 152B- 70,67,2 Habs. 2 Baños51 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192581963,"Cuota de administración incluida en el precio. Arriendo apartamento en Britalia, agradable, bien distribuido, buena iluminación y ventilación natural. Cuenta con cómodas vías de acceso y salida, sitios de interés, cerca de paraderos del sitp. Al contactar a épica, autorizas el tratamiento de tus datos conforme a los términos en los enlaces de pie de página de epicainmobiliaria.com 503-6498"
"Apartamento en Arriendo en Calatrava, Bogotá",$ 3.800.000,"Suba, Bogotá",DG 135 80-81,1676,3 Habs. 2 Baños170 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calatrava-bogota/192396648,"Este amplio y hermoso apartamento se encuentra ubicado en la vibrante ciudad de Bogotá D.C., en el departamento de Cundinamarca. Con un área total de 170 M2, este inmueble cuenta con un diseño moderno y funcional que lo convierte en el lugar perfecto para vivir. Su ubicación estratégica brinda una gran variedad de servicios y comodidades a su alcance, lo que lo convierte en una excelente opción para aquellos que buscan un estilo de vida cómodo y conveniente.

Con una construcción de 170 M2, este apartamento ofrece un amplio espacio, ideal para una familia pequeña o para aquellos que buscan comodidad y privacidad. Su área privada de 170 M2 garantiza que cada habitación tenga un tamaño adecuado para desarrollar diferentes actividades y disfrutar del máximo confort.

El apartamento cuenta con 3 alcobas, lo que permite que cada miembro de tu familia tenga su propio espacio privado y cómodo. Además, tiene 2 baños completamente equipados que te brindarán comodidad y privacidad en todo momento. El baño en la habitación principal es una característica adicional que te brinda una sensación de exclusividad y confort.

Su garaje propio también es una ventaja excepcional, ya que te brinda la comodidad de tener un lugar seguro para estacionar tu vehículo sin la preocupación de buscar un lugar en la calle. Además, este apartamento te permite tener mascotas, lo que lo hace ideal para aquellos que tienen una compañía peluda en su hogar.

En su interior, este inmueb"
"Apartamento en Arriendo en Prado veraniego, Bogotá",$ 1.870.700,"Suba, Bogotá",CALLE 134 D No.  47 -  40,2917,3 Habs. 2 Baños85 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-prado-veraniego-bogota/192557288,"hermoso apartamento amplio con excelente iluminación natural, cuenta con 3 habitaciones, 2 baños, cocina integral con zona de ropas y sala comedor bastante grande, 2 balcones, muy bien ubicado con zonas comerciales cercanas"
"Apartamento en Arriendo en Pinar de Suba, Bogotá",$ 1.300.000,"Suba, Bogotá","Cl. 154 # 91-51, Suba, Bogotá, D.C., Colombia",1671,3 Habs. 2 Baños55 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-pinar-de-suba-bogota/192613610,"Hermoso apartamento localizado en el sector de Suba Pinar, a corta distancia del CAI del Pinar. Cuenta con 3 alcobas, 2 baños, sala-comedor, cocina integral, y zona de ropas. El sector cuenta con buen transporte publico, así como de ruta de Alimentador ""PINAR"""
"Apartamento en  Arriendo en Nueva colina, Bogotá",$ 15.000.000,"Suba, Bogotá","Carrera 76 #152, Bogotá, Colombia",408,3 Habs. 5 Baños223 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nueva-colina-bogota/191891599,"APTO EXCELENTES ACABADOS, VISTA PANORAMICA, ILUMINADO, ZONA SOCIAL CANCHA DE  BASQUETBOLL, SQUASH, GYM, SENDERO, PARQUE DE NIÑOS, SALONES SOCIALES, ZONA DE BBQ."
"Apartamento en Arriendo en Suba, Bogotá",$ 1.600.000,"Suba, Bogotá","Conjunto Residencial Sol de Plata, Calle 157a, Bogotá, Colombia",1840,3 Habs. 2 Baños59 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-bogota/192510884,"Se arrienda hermoso apartamento en el sector de suba salitre. El apartamento es un primer piso, cuenta con sala comedor, cocina, zona de ropas, dos baños y un parqueadero descubierto."
"Apartamento en Arriendo en Suba, Bogotá",$ 1.500.000,"Suba, Bogotá",Calle 146 F #73 A -20,526,3 Habs. 2 Baños58 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-suba-bogota/192620009,"Moderno apartamento interior de 58 metros cuadrados, con tres habitaciones, dos baños completos y una sala comedor espaciosa. Destaca por su balcón privado y cocina equipada con electrodomésticos modernos y amplio espacio de almacenamiento, junto a una práctica zona de lavandería. Incluye parqueadero privado y depósito. Las comodidades adicionales del conjunto residencial comprenden dos salones comunales para eventos, un gimnasio y área de BBQ para mantenerse activo. La ubicación es privilegiada, cerca de importantes vías como Av. Boyacá y Av. Suba, facilitando el acceso a servicios y comercios. ¡Contáctame para más detalles!"
"Apartamento en Arriendo en Cedritos, Bogotá",$ 2.338.000,"Suba, Bogotá",CL 150A # 45 - 14,2385,3 Habs. 2 Baños72 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cedritos-bogota/192301762,"Encantador apartamento de 72 m² se encuentra ubicado en tercer piso. Cuenta con: sala comedor, tres alcobas con closet, dos baños, ideales para descansar y disfrutar de la tranquilidad y el confort de toda la familia y visitas. Cocina semi integral cerrada, diseñada para brindar privacidad y funcionalidad, ideal para aquellos que disfrutan cocinar, zona de lavandería. Además, cuenta un parqueadero cubierto, lo que añade comodidad en tu día a día. Zonas comunes : salón social. Cerca avenidas principales como la Autopista Norte, calle 152 y cerca estación de Transmilenio Mazurén."
"Apartamento en Arriendo en Plaza Imperial Centro Comercial, Bogotá",$ 1.050.000,"Suba, Bogotá","Calle 152b #104-50, Bogotá, Colombia",2923,2 Habs. 1 Baño45 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-plaza-imperial-centro-comercial-bogota/192637796,"Bonito apartamento en Bellavista Imperial, sector Suba Tuna Baja, piso 4to, edificio con ascensor, cocina completa, espacio de ropas, calentador de paso, sala-comedor, vista exterior, 2 habitaciones con closet, 1 baño terminado, con división en vidrio, mueble de lavamanos, se entrega con cortina en sala comedor y persianas en habitaciones. Parqueaderos comunales y de visitantes.
El conjunto cuenta con amplios salones sociales, parques infantiles, zonas verdes, bbq y gimnasio.
Queda al frente de Zapatoca, y de otros supermercado,  comercio cercano, transporte público, muy buena ubicación.
Se arrienda por medio de Inmobiliaria, previo estudio del tomador y codeudor, por parte de la aseguradora. Para más info por favor contáctame al WA 301 6490206"
"Apartamento en Arriendo en Gratamira, Bogotá",$ 3.020.000,"Suba, Bogotá",CL 139 72A 60,1314,3 Habs. 2 Baños90 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-gratamira-bogota/192360543,"APARTAMENTO AMOBLADO EN ARRIENDO UBICADO EN GRATAMIRA - SUBA 90 m2 con excelente distribución de los espacios, iluminación y ventilación natural, en el encontraras alcoba principal con closet baño privado, 2 alcobas con closet, baño principal, sala comedor con balcón ,estudio, cocina integral cerrada red gas natural, piso en madera laminada, 1 parqueadero cubierto. El edificio cuenta con ascensor, portería vigilancia 24/7, zonas verdes, casilleros de correspondencia. Su ubicación te permite gran desplazamiento por vías principales Av Boyaca, Cl 138, Av suba entre otras, un sector residencial y comercial con cercanía al club de la Policía - 12570"
"Apartamento en  Arriendo en Victoria norte, Bogotá",$ 2.200.000,"Suba, Bogotá",CALLE 150A   50- 37,2055,2 Habs. 2 Baños60 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-victoria-norte-bogota/192180072,"Espectacular Apartamento en Victoria Norte, con una ubicación ideal para disfrutar con la familia, cerca a colegios, jardines infantiles y centros comerciales. El apartamento cuenta con amplios espacios y con gran iluminación natural, cocina integral, tiene una gran sala  comedor donde podrá apreciar los atardeceres de la ciudad. Posee una excelente distribución con dos alcobas con closet y la principal con baño privado, garaje cubierto y deposito. Cualquier información adicional contáctenos al número 3124359482 o al correo electrónico  jaime.linaresinmobiliariabogota.com. El equipo de Inmobiliaria Bogotá está comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad. 1132-2021209872"
"Apartamento en Arriendo en Ciudad jardin norte, Bogotá",$ 1.550.000,"Suba, Bogotá",Carrera 58 D #130 -26,2469,3 Habs. 1 Baño80 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ciudad-jardin-norte-bogota/192596905,"Se arrienda apartamento en un tercer piso, de vista exterior, muy buena iluminación natural, consta de 3 alcobas, 1 baño, sala-comedor, cocina a gas, zona de lavandería, servicios públicos independientes, no cuenta con garaje ni deposito. parques, supermercados y comercio cercano, vías de acceso como la Calle 129, Calle 134, AV Las villas, AV Boyacá y transporte publico cerca."
"Apartamento en Arriendo en Prado veraniego, Bogotá",$ 1.800.000,"Suba, Bogotá",Calle 131 #53 -31,2918,1 Habs. 1 Baño33 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-prado-veraniego-bogota/192439021,"Descubre la elegancia y comodidad en este exclusivo apartamento de 1 habitación y 1 baño, con una distribución inteligente que maximiza sus 33 metros cuadrados. Ubicado en una zona privilegiada, este inmueble ofrece un ambiente acogedor y funcional, ideal para quienes buscan un espacio moderno y bien diseñado. Con acabados de alta calidad y una excelente iluminación natural, cada rincón de este apartamento invita a disfrutar de un estilo de vida único. ¡Ven y haz de este lugar tu nuevo hogar!"
"Apartamento en Arriendo en El pino, Bogotá",$ 1.160.000,"Suba, Bogotá",CARRERA 102 153- 27,2680,2 Habs. 1 Baño54 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-pino-bogota/192629582,"Se arrienda acogedor apartamento en el barrio Prado de suba cuenta con 54 m muy bien distribuidos, con excelente iluminación natural. Tiene dos habitaciones con clóset, un baño con ducha eléctrica, estudio, sala-comedor, cocina semi-integral con estufa a gas, zona de ropas y pisos en cerámica. Está ubicado en un segundo piso, con parqueadero descubierto número 21, vigilancia 247 y zona infantil, en zona residencial y comercial con fácil acceso por la Av. Suba y Av. Cali, cerca al Hospital de Suba y al centro comercial Plaza Imperial. ¡Ideal para quienes buscan comodidad y buena ubicación! Canon mas admon, para más información comuníquese con la ejecutiva comercial Piedad Pineda al celular yo WhatsApp 3174316611, o al correo piedad.pinedainmobiliariasaliadas.com 1133-3000007008"
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 4.934.000,"Suba, Bogotá","CL 152 # 58 50,",960,3 Habs. 4 Baños125 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192506839,"[⚠️ Suspicious Content] Se arrienda apartamento de 125 M2 con balcón, en el sector de Colina Campestre, ubicado en el segundo piso este apartamento Club House es estrato 5 y tiene vista exterior; cuenta con tres habitaciones la habitación principal con citófono, baño privado y Walking closet ,un estudio, una sala de televisión, en total tres baños y un medio baño, Sala comedor con balcón y chimenea a leña cocina integral muy bien equipada con estufa y calentador a gas natural, zona de lavandería, cuarto y baño de servicio, gracias a sus excelentes acabados, piso laminado y diseño arquitectónico; éste apartamento ofrece generosos espacios muy bien distribuidos, que gracias a sus ventanales piso techo brindan una magnífica iluminación natural.
Cuenta además con dos garajes privados, un depósito, ascensor, parqueadero de visitantes y vigilancia 24/7, con zonas comunes tales como; piscina, canchas de squash, gimnasio, parque infantil, zonas verdes, zonas húmedas. Éste maravilloso Club House, cuenta con múltiples vías de acceso como; la calle 153, Avenida Las Villas, Avenida Boyacá, Calle 170, Calle 138 y muy cerca al centro comercial Parque Colina Campestre, al almacén éxito y mucho más."
"Apartamento en Arriendo en Villa del prado, Bogotá",$ 2.100.000,"Suba, Bogotá",Carrera 52 A #174 B -66,2600,2 Habs. 2 Baños57 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-del-prado-bogota/192387224,"Apartamento para arriendo  en sexto piso interior, iluminado, encortinado,  acabados modernos,  con balcón en zona social,  cocina integral abierta , zona de lavandería, pisos laminados, 1 parqueadero, con excelentes vías de acceso como la calle 170,  la autopista norte  , rodeado de parques y zonas verdes, almacenes de cadena y comercio en general. Mayor informacion: Martha E. Rodriguez, celular: Tres catorce tres cero dos sesenta y dos cincuenta y uno."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 1.600.000,"Suba, Bogotá",Calle 152b,205,2 Habs. 1 Baño32 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192562187,"[ARR] ID HOUM: 155182

Entérate de todos los beneficios al arrendar con nosotros:
• Asistencia e intermediación con el propietario
• Firma tu contrato online
• Arrienda sin burocracia, sin papeleos ni notarías

Departamento en arriendo, ubicado en el barrio Casablanca, con una superficie construida de 32.00 m² y superficie total de 32.00  m².

Sus principales características son:

• No amoblado
• 2 dormitorios
• 1 baño
• Admite mascotas
• Año de construcción: 2025
• Cuarto de lavado

Además, el inmueble cuenta con las siguientes amenidades:

• Salón de eventos
• Ascensor
• Zona de juegos
• Gimnasio
• Lavandería
• Zona de asadores

Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso.

Requisitos para arrendar con nosotros:

• Arrienda sin codeudor*, fácil, rápido y seguro
• Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble)
• Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos
• No debes tener reportes negativos en centrales de crédito


IMPORTANTE:

• Te invitamos a agendar una visita a esta propiedad
• Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros

Más que una inmobiliaria"
"Apartamento en Arriendo en Nueva zelandia, Bogotá",$ 1.500.000,"Suba, Bogotá","Calle 176 #54-15, Bogotá, Colombia",2532,2 Habs. 1 Baño39 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nueva-zelandia-bogota/192632614,"Arriendo apartamento pequeño de 39mts2, Dos habitaciones, Un baño, Sala comedor, cocina integral, piso 9, Zona de lavandería, Cerca al portal norte y calle 170, A 15 minutos del centro comercial Santa fe."
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.200.000,"Suba, Bogotá","CARRERA 62 165A-55,",1052,2 Habs. 2 Baños54 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192597590,"Acogedor y moderno apartamento en conjunto cerrado tipo club house

Este hermoso apartamento ofrece el equilibrio perfecto entre comodidad, seguridad y estilo de vida. Cuenta con una amplia zona social que integra sala y comedor, una cocina integral funcional, dos habitaciones confortables y dos baños. La habitación principal incluye baño privado y un agradable balcón con vista interior.

Ubicado dentro de un conjunto cerrado con vigilancia, este inmueble te brinda acceso a excelentes amenidades tipo club house: piscina, sauna, gimnasio totalmente dotado, salón social, cancha de golfito y un parque infantil ideal para los más pequeños.
Incluye parqueadero propio descubierto y parqueadero para visitantes. Su estratégica ubicación lo sitúa cerca de supermercados, colegios, clínicas y con fácil acceso a transporte público, lo que garantiza comodidad y conectividad en el día a día."
"Apartamento en Arriendo en Alejandria, Bogotá",$ 2.100.000,"Suba, Bogotá","Calle 159 #54-70, Suba, Cundinamarca, Colombia",1404,1 Habs. 1 Baño45 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-alejandria-bogota/192602002,"Hermoso apartamento en arriendo en Alejandría, CR Tenerife Alejandría, piso 7, con excelente vista , espacios e iluminación.  La habitación es cerrada,  un solo baño, cocina abierta, zona de lavanderia independiente, y un amplio balcón, tiene blackout en la habitación y panel japonés en la sala, también cuenta con puerta de seguridad.Cuenta con un garaje cubierto, un depósito, adicional el conjunto tiene Club House. El proceso de arrendamiento es por aseguradora, mayor información Laura Vega- Inmobiliaria Profesional"
"Apartamento en Arriendo en Mazuren, Bogotá",$ 1.900.000,"Suba, Bogotá",Calle 151 #56 A -70,1256,3 Habs. 2 Baños61 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-mazuren-bogota/192388387,"Descubre la comodidad en este apartamento  iluminado y con excelentes espacios de 3 habitaciones y 2 baños, con 61.03 metros cuadrados de espacio para disfrutar en cada rincón. Te brinda un ambiente acogedor y lleno de posibilidades. Además, cuenta con 1 parqueadero para tu conveniencia. Ubicado en una zona privilegiada, este inmueble es ideal para quienes buscan calidad de vida y bienestar. No se aceptan mascotas. No pierdas la oportunidad de hacer de este lugar tu nuevo hogar. Para más información, contacta a Nancy Montenegro al número 3217581961."
"Apartamento en Arriendo en Nueva colina, Bogotá",$ 5.300.000,"Suba, Bogotá","Calle 160 #72-51, Bogotá, Colombia",326,3 Habs. 3 Baños134 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nueva-colina-bogota/192598573,"Acogedor apartamento, muy iluminado, esquinero, en piso alto, linda vista, consta de 3 habitaciones, la principal con baño privado, las otras habitaciones comparten baño, sala comedor amplio con balcón, baño social, cocina cerrada instalaciones a gas, lavavajillas, zona de lavandería, cuarto del servicio con baño, 2 parqueaderos cubiertos en línea, 1 deposito.
El apartamento cuenta con pisos en madera, cortinas eléctricas en sala comedor, los vidrios cuentan con pelicular de protección UV
Zonas sociales: Piscina, 2 canchas de Squash, salón de reuniones, gimnasio, cancha múltiple, parqueadero de visitantes.
Excelente ubicación, cerca a la Avenida Boyacá, calle 170, supermercados, centros comerciales, clínicas, transporte publico, colegios, universidades, sector residencia y comercial."
"Apartamento en Arriendo en Prado veraniego, Bogotá",$ 1.800.000,"Suba, Bogotá",CARRERA 53C   130- 49,2813,3 Habs. 2 Baños52 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-prado-veraniego-bogota/192593954,"Fascinante apartamento en Prado Veraniego, con 52 metros cuadrados, ubicado en la carrera 53C con la calle 130, cerca del centro comercial Paseo San Rafael, canal de rio Córdoba, con fácil acceso a transporte público. Conjunto residencial con recepción, salón social, parque infantil, el apartamento cuenta con amplios espacios y con gran iluminación natural, cocina integral cerrada, sala y comedor donde podrá apreciar amaneceres y atardeceres de la ciudad. Excelente distribución con tres alcobas, la principal con baño privado, tres closets, vista exterior. Cualquier información adicional contáctenos al correo electrónico german.amorteguiinmobiliariabogota.com  o al teléfono 314 3658146. El equipo de inmobiliaria Bogotá está comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad 1132-2021206124"
"Apartamento en arriendo en Colina Campestre, Bogotá",$ 2.100.000,"Suba, Bogotá","Carrera 58 #138-40, Bogotá, Colombia",1673,3 Habs. 2 Baños73 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/10858787,"HERMOSO APARTAMENTO EN CONJUNTO CERRADO, EXCELENTE ILUMINACIÓN NATURAL, CUENTA CON SALA COMEDOR, COCINA INTEGRAL A GAS, CALENTADOR DE PASO A GAS, TRES HABITACIONES AMPLIAS CON CLOSET Y LA PRINCIPAL CON VESTIER, SE ENTREGA ENCORTINADO, UN GARAJE CUBIERTO, EL CONJUNTO CUENTA CON SALÓN COMUNAL, SALÓN DE JUEGOS, ZONA BBQ, ÁREA INFANTIL, CANCHA DE TENIS, GIMNASIO, ÁREAS VERDES, VIGILANCIA 24 HORAS, TRASNPORTE PUBLICO CERCANO"
"Apartamento en Arriendo en Pinar de Suba, Bogotá",$ 1.200.000,"Suba, Bogotá",Carrera 102 No. 153-27 APTO 104 T 11,2611,2 Habs. 1 Baño56 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-pinar-de-suba-bogota/192594780,"Bienco   arrienda- 105460 Espectacular  apartamento  en sector de suba primer piso, con  bastante luz natural, cuenta con amplia sala comedor , cocina integlal, 2 habitaciones  con closet,  , baño   y patio   ,  puedes disfrutar de un pequeño  balcon con vista interna ,   parque  de niños  y zonas verdes, facil acceso a alimentador  y sit  , a 10 minutos del portal de suba , cc imperial  , supermercados como  zapatoca, D1 , ARA . vias de acceso como av ciudad de cali , av suba"
"Apartamento en Arriendo en Portales del Monte, Bogotá",$ 2.200.000,"Suba, Bogotá","Calle 168a #73a-96, Bogotá, Colombia",1127,4 Habs. 2 Baños79 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-portales-del-monte-bogota/192626183,"Hermoso Apartamento Duplex, piso 2 acceso por escalera, 4 amplias habitaciones, 2 baños; sala comedor y cocina, depósito, 1 parqueadero descubierto, estrato 3, a tan solo 2 cuadras de clínica Colina, a pocos minutos de centro comercial parque la Colina, supermercados Jumbo 170 y Alkosto, rodeado de hermosos parques, transporte público."
"Apartamento en Arriendo en La campiña i sector, Bogotá",$ 2.200.000,"Suba, Bogotá",CR 90 147B 23 AP 108 - TORRE NIBO,1592,2 Habs. 2 Baños67 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-campiña-i-sector-bogota/192617644,Apartamento Arriendo 67 mts Cundinamarca BOGOTÁ LA CAMPIÑA Código Coninsa:92584
"Apartamento en Arriendo en Colina Campestre, Bogotá",$ 2.600.000,"Suba, Bogotá","Calle 138 #57-76, Bogotá, Colombia",1776,2 Habs. 2 Baños60 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-colina-campestre-bogota/192618042,"NHI-ARRIENDA APARTAMENTO  CON PARQUEADERO CUBIERTO,EN COLINA CAMPESTRE DISPONIBLE . Cerca a av Boyaca, autopista norte y sobre la calle 138. Esta ubicado en un piso 6 con ascensor, consta de 60m², sala comedor con chimenea, cocina integral, 2 alcobas, 2 baños, zona de lavandería, vista al oriente, puerta de seguridad, se entrega totalmente pintado y con cortinas
Se encuentra en un conjunto residencial con 2 salones sociales, parqueadero de visitantes y agradables áreas sociales. Documentos por Aseguradora el Libertador, contrato de arrendamiento a 1 año mínimo.
!CONTÁCTENOS!"
"Apartamento en  Arriendo en Cerros de Suba, Bogotá",$ 7.500.000,"Suba, Bogotá","Calle 137d #76a-50, Bogotá, Colombia",1490,2 Habs. 4 Baños297 m²,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cerros-de-suba-bogota/192243123,"Espectacular apartamento de dos niveles, cuenta con 2 habitaciones con baño privado, la principal tiene vestier y jacuzzi, estudio (puede ser una 3ra habitación), baño social, 2 salas con chimenea, comedor independiente, cocina abierta, cuarto y baño de servicio, family room, 2 parqueaderos cubiertos, uno exterior, excelente vista sobre la ciudad de Bogota, cerca de importantes centros comerciales, acabados de ultima generación. El condominio cuenta con hermosos jardines, parque infantil, sendero peatonal, salón de reuniones, cancha de squash, cancha múltiple, zona de BBQ y amplios parqueaderos para visitantes. Vigilancia 24 horas. Admírelo."
